"playDispNm","playPos","sum(GP)","sum(playMin)","sum(playPTS)","sum(playAST)","sum(playTO)","sum(playSTL)","sum(playBLK)","sum(playFGA)","sum(playFGM)","sum(play3PA)","sum(play3PM)","sum(playFTA)","sum(playFTM)","sum(playTRB)","sum(TotPoss)","TotGP","playMPG","playPTS.36","playAST.36","playTO.36","playSTL.36","playBLK.36","playFGA.36","playFGM.36","playFGp.36","play3PA.36","play3PM.36","play3Pp.36","playFTA.36","playFTM.36","playFTp.36","playTRB.36","playTotPoss.36"
"Kristaps Porziņģis","PF",48,1552,1088,57,93,36,115,889,390,229,90,275,218,316,889.62050380227,48,1164,25.2371134020619,1.32216494845361,2.15721649484536,0.835051546391753,2.66752577319588,20.6211340206186,9.04639175257732,0.438695163104612,5.31185567010309,2.08762886597938,0.393013100436681,6.37886597938144,5.05670103092783,0.792727272727273,7.32989690721649,20.6355271500526
"Kyle Anderson","SF",68,1817,535,191,87,113,56,394,211,54,18,132,95,350,504.882102555716,68,961.941176470588,10.5998899284535,3.78425976884975,1.72372041827188,2.23885525591635,1.1095211887727,7.8062740781508,4.18051733626857,0.535532994923858,1.06989543203082,0.35663181067694,0.333333333333333,2.61529994496423,1.88222344523941,0.71969696969697,6.93450742982939,10.0031676896014
"Kyle Collinsworth","PG",30,478,101,56,24,17,9,99,38,17,4,40,21,107,137.393185049941,30,573.6,7.60669456066946,4.21757322175732,1.80753138075314,1.28033472803347,0.677824267782427,7.4560669456067,2.86192468619247,0.383838383838384,1.28033472803347,0.301255230125523,0.235294117647059,3.01255230125523,1.581589958159,0.525,8.05857740585774,10.3476038949746
"Kyle Korver","SG",73,1574,672,88,55,31,27,484,222,376,164,72,64,164,475.649555254839,73,776.219178082192,15.3697585768742,2.01270648030496,1.2579415501906,0.709021601016518,0.617534942820839,11.0698856416773,5.07750952986023,0.458677685950413,8.5997458703939,3.75095298602287,0.436170212765957,1.64675984752224,1.46378653113088,0.888888888888889,3.75095298602287,10.8788970706316
"Kyle Kuzma","PF",77,2402,1242,141,140,49,34,1039,468,435,159,208,147,484,1059.33689810959,77,1123.01298701299,18.6144879267277,2.11323896752706,2.09825145711907,0.734388009991674,0.509575353871774,15.5720233139051,7.01415487094088,0.450433108758422,6.5195670274771,2.38301415487094,0.36551724137931,3.11740216486261,2.20316402997502,0.706730769230769,7.25395503746878,15.8768227859888
"Kyle Lowry","PG",78,2510,1267,537,183,85,18,943,403,596,238,261,223,435,1172.57673695603,78,1158.46153846154,18.1721115537849,7.70199203187251,2.62470119521912,1.2191235059761,0.258167330677291,13.5250996015936,5.7800796812749,0.427359490986214,8.54820717131474,3.41354581673307,0.399328859060403,3.74342629482072,3.19840637450199,0.854406130268199,6.2390438247012,16.817833677457
"Kyle O'Quinn","C",77,1391,550,158,100,35,98,384,224,17,4,127,98,470,510.109846383788,77,650.337662337662,14.234363767074,4.08914450035945,2.58806613946801,0.905823148813803,2.53630481667865,9.93817397555715,5.79726815240834,0.583333333333333,0.439971243709561,0.10352264557872,0.235294117647059,3.28684399712437,2.53630481667865,0.771653543307087,12.1639108554996,13.2019802083511
"Kyrie Irving","PG",60,1932,1466,306,139,65,17,1087,534,407,166,261,232,227,1170.39224476148,60,1159.2,27.3167701863354,5.70186335403727,2.59006211180124,1.2111801242236,0.316770186335404,20.2546583850932,9.95031055900621,0.491260349586017,7.58385093167702,3.09316770186335,0.407862407862408,4.86335403726708,4.32298136645963,0.888888888888889,4.22981366459627,21.8085511446239
"LaMarcus Aldridge","PF",75,2513,1735,152,112,43,89,1347,687,92,27,399,334,634,1385.48212934795,75,1206.24,24.8547552725826,2.1774771189813,1.60445682451253,0.61599681655392,1.274970155193,19.2964584162356,9.84162355750099,0.510022271714922,1.31794667727815,0.386788698766415,0.293478260869565,5.71587743732591,4.78471945881417,0.837092731829574,9.08237166732988,19.8477344435043
"Lance Stephenson","SG",82,1845,757,235,131,48,16,709,303,232,67,127,84,424,807.29294645299,82,810,14.7707317073171,4.58536585365854,2.55609756097561,0.936585365853658,0.31219512195122,13.8341463414634,5.91219512195122,0.427362482369535,4.52682926829268,1.30731707317073,0.288793103448276,2.4780487804878,1.6390243902439,0.661417322834646,8.27317073170732,15.7520574917657
